"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"8090",-2.99189347897969,0.121843569267813,NA,NA,-1.81580074451636,-0.83022375739536,NA,NA,2.45941582823717,1.59004218927842,-1.95531284877573,4.81214295350254,0.404307910996489,-0.377293847472694,10,-88.0808851259762,197.495103585286,14.4714473375295,1.95818308462323e-05
"3422",-2.44847173828497,-0.152733467121795,NA,2.01154874639788,-2.09978696417389,-1.00518019513686,NA,-1.44060632814097,NA,1.06820594507024,NA,5.06375031850537,0.339064530743781,NA,9,-89.2055459292316,197.495429207861,14.4717729601046,1.95786429626578e-05
"6335",0.279179591587361,NA,-3.62931461353582,1.89181646673021,-2.93457600172797,-1.00784993601946,0.121884642062951,NA,2.96698089874426,NA,NA,NA,0.0379491729997778,-0.154580904791666,9,-89.2055792132985,197.495495775995,14.4718395282384,1.95779913166407e-05
"4799",0.298652377991959,NA,-3.62138857512859,1.89034054983969,-2.93691250232787,-1.01087629569851,0.120591133744707,NA,2.96922515449425,NA,-0.0063340106250422,NA,NA,-0.150234670410774,9,-89.2062942269669,197.496925803331,14.4732695555753,1.95639977886267e-05
"1987",-3.26503555792443,NA,-1.40755544749155,NA,NA,NA,NA,-0.435662212890379,2.40822706447018,1.97152228066495,-1.61918164220397,4.44172863446765,NA,NA,7,-91.4156104353339,197.497887537334,14.4742312895782,1.95545923692328e-05
"5386",-2.23574693556504,-0.411686880492782,NA,NA,-2.31496925228543,NA,NA,NA,NA,0.642593344959217,NA,5.48609924715672,NA,-0.402585351921945,6,-92.5006606196575,197.498362659433,14.4747064116771,1.95499475114888e-05
"3561",-3.05260066018728,NA,NA,NA,-2.53059217621033,NA,0.510125724886993,-1.27160533660807,2.38507909327833,0.799963596156703,NA,5.05436365048328,0.257735514000519,NA,8,-90.3185725352015,197.499420519505,14.4757642717487,1.95396096912842e-05
"2783",0.41532304336722,NA,-3.59704251831376,1.95284304441659,-2.86571740179457,-0.984552824271288,NA,-0.296363770065925,2.83956559939355,NA,0.0926907470388005,NA,-0.000960612905035297,NA,9,-89.2102673295754,197.504872008548,14.4812157607922,1.94864222278598e-05
"6815",0.317900063504712,NA,-3.61341010698142,1.90753078262985,-2.89237008704588,-1.00502333738069,NA,NA,2.93906394875819,NA,-0.00557226646177707,NA,0.0352013573715572,-0.165952547412243,9,-89.2104234108674,197.505184171132,14.4815279233763,1.94833809992467e-05
"2512",-0.164082163983863,0.384070553527625,-3.93927757176105,2.33426339743517,-3.19335906362128,NA,NA,-1.04363974132808,3.29091275464264,1.00481300914503,NA,NA,0.0583963860368946,NA,9,-89.2128416283266,197.510020606051,14.4863643582945,1.94363228684806e-05
"8069",-5.56846470047689,NA,NA,1.84076942753933,NA,NA,NA,NA,2.52001790386735,2.29846461035229,-2.95757421809384,4.9293085575447,0.829257135277454,-0.0971822398940931,8,-90.3251480181666,197.512571485435,14.4889152376788,1.94115488130908e-05
"2143",1.83381641177353,NA,-3.18055838534719,2.10201696648282,-2.38656055992461,-1.43719016967299,NA,-0.721323219985071,NA,NA,NA,NA,0.182115188970984,NA,7,-91.4236839727063,197.514034612079,14.490378364323,1.93973532290704e-05
"1338",-1.83054171930465,-0.366353191117863,NA,NA,-1.89441011429501,-1.16999904949332,-0.234026382548078,NA,NA,0.612937303688162,NA,5.20728532462981,NA,NA,7,-91.4271648535127,197.520996373692,14.497340125936,1.93299507326043e-05
